Product Description,Brand Name,Liquer Volume,PACK SIZE,Category,Flavor,split_text
2019 Areyna Malbec,,,,,,"['2019', 'Areyna', 'Malbec']"
2019 Hedges CMS Red,,,,,,"['2019', 'Hedges', 'CMS', 'Red']"
2019 LGV Nadal-Hainault Cab 4PK/187M,,,,,,"['2019', 'LGV', 'Nadal-Hainault', 'Cab', '4PK/187M']"
2019 Matthew Fritz Cabernet Sauvigno,MATTHEW FRITZ,,,,CABERNET SAUVIGNON,"['2019', 'Matthew', 'Fritz', 'Cabernet', 'Sauvigno']"
2019 Paitin Nebbiolo Langhe Starda,,,,,,"['2019', 'Paitin', 'Nebbiolo', 'Langhe', 'Starda']"
2019 Poggio al Tufo  Cabernet Sauvig,,,,,,"['2019', 'Poggio', 'al', 'Tufo', 'Cabernet', 'Sauvig']"
2019 Tommasi Le Prunee Merlot,,,,,,"['2019', 'Tommasi', 'Le', 'Prunee', 'Merlot']"
2020 Apaltagua Reserve Cab Sauv 375m,,,,,,"['2020', 'Apaltagua', 'Reserve', 'Cab', 'Sauv', '375m']"
2020 Apaltagua Reserve Chardonnay 37,,,,,,"['2020', 'Apaltagua', 'Reserve', 'Chardonnay', '37']"
2020 Borsao Rose,,,,,,"['2020', 'Borsao', 'Rose']"
2020 CARNEROS CHARDONNAY,,,,,,"['2020', 'CARNEROS', 'CHARDONNAY']"
2020 Clic Cabernet Sauvignon,,,,,,"['2020', 'Clic', 'Cabernet', 'Sauvignon']"
2020 Cristom Willamette Valley Pinot,,,,,,"['2020', 'Cristom', 'Willamette', 'Valley', 'Pinot']"
2020 Enotria Moscato,,,,,,"['2020', 'Enotria', 'Moscato']"
2020 EverEarth Cabernet Sauvignon,,,,,,"['2020', 'EverEarth', 'Cabernet', 'Sauvignon']"
2020 Hedges CMS Red,,,,,,"['2020', 'Hedges', 'CMS', 'Red']"
2020 High Def Riesling,,,,,,"['2020', 'High', 'Def', 'Riesling']"
2020 LGV Belle Rive Pinot Noir 4PK/1,,,,,,"['2020', 'LGV', 'Belle', 'Rive', 'Pinot', 'Noir', '4PK/1']"
2020 LGV Caylus Chardonnay 4PK / 187,,,,,,"['2020', 'LGV', 'Caylus', 'Chardonnay', '4PK', '/', '187']"
2020 Paitin Nebbiolo Langhe Starda,,,,,,"['2020', 'Paitin', 'Nebbiolo', 'Langhe', 'Starda']"
2021 Ant Moore Sauvignon Blanc,,,,,,"['2021', 'Ant', 'Moore', 'Sauvignon', 'Blanc']"
2021 Borsao Rose,,,,,,"['2021', 'Borsao', 'Rose']"
2021 CARNEROS CHARDONNAY,,,,,,"['2021', 'CARNEROS', 'CHARDONNAY']"
2021 Cristom Mt. Jefferson Pinot Noi,,,,,,"['2021', 'Cristom', 'Mt.', 'Jefferson', 'Pinot', 'Noi']"
2021 Enotria Moscato,,,,,,"['2021', 'Enotria', 'Moscato']"
2021 LGV Anges Rose 4PK / 187ML,,,,,,"['2021', 'LGV', 'Anges', 'Rose', '4PK', '/', '187ML']"
2021 LGV Terre Haute Sauv Blanc 4PK/,,,,,,"['2021', 'LGV', 'Terre', 'Haute', 'Sauv', 'Blanc', '4PK/']"
2021 Mauro Molino Langhe Nebbiolo,,,,,,"['2021', 'Mauro', 'Molino', 'Langhe', 'Nebbiolo']"
2021 Mauro Molino Roero Arneis,,,,,,"['2021', 'Mauro', 'Molino', 'Roero', 'Arneis']"
2021 Muga Rose,,,,,,"['2021', 'Muga', 'Rose']"
21 SEEDS TEQ CUCUM JALAPENO 70 6B 750ML,,,,,,"['21', 'SEEDS', 'TEQ', 'CUCUM', 'JALAPENO', '70', '6B', '750ML']"
21 SEEDS TEQ CUCUMBER JALAPENO 70 750ML,,,,,,"['21', 'SEEDS', 'TEQ', 'CUCUMBER', 'JALAPENO', '70', '750ML']"
21 SEEDS TEQ GRAPEFRUIT HIBISCUS70 750ML,,,,,,"['21', 'SEEDS', 'TEQ', 'GRAPEFRUIT', 'HIBISCUS70', '750ML']"
21 SEEDS TEQ VALENCIA ORANGE 70 750ML,,,,,,"['21', 'SEEDS', 'TEQ', 'VALENCIA', 'ORANGE', '70', '750ML']"
21 TABLAS COTES DE TBLS  BLANC,,,,,,"['21', 'TABLAS', 'COTES', 'DE', 'TBLS', 'BLANC']"
21A HEL HI MNG C24 12OZ 12P,,,,,,"['21A', 'HEL', 'HI', 'MNG', 'C24', '12OZ', '12P']"
21st Dunn 1/2 K,,,,,,"['21st', 'Dunn', '1/2', 'K']"
24/12  CTWTR BLOOD MARY MILD6/4 CN,,,,,,"['24/12', 'CTWTR', 'BLOOD', 'MARY', 'MILD6/4', 'CN']"
24/12  CW VODKA MULE     6/4 CN,,,,,,"['24/12', 'CW', 'VODKA', 'MULE', '6/4', 'CN']"
250 ML BEACH JUICE ROSE W/BUBBLES 6X4P CANS,,,,,,"['250', 'ML', 'BEACH', 'JUICE', 'ROSE', 'W/BUBBLES', '6X4P', 'CANS']"
250 ML BOMBAY SAPP GIN & TONIC LGT 6X4P CAN,,,,,,"['250', 'ML', 'BOMBAY', 'SAPP', 'GIN', '&', 'TONIC', 'LGT', '6X4P', 'CAN']"
2BAR BOURBON 80 PROOF,,,,,,"['2BAR', 'BOURBON', '80', 'PROOF']"
2BLOKES BLD OR K 1/6BBL,,,,,,"['2BLOKES', 'BLD', 'OR', 'K', '1/6BBL']"
2BLOKES DRONE K 1/6BBL,,,,,,"['2BLOKES', 'DRONE', 'K', '1/6BBL']"
2BLOKES WAVESH K 1/6BBL,,,,,,"['2BLOKES', 'WAVESH', 'K', '1/6BBL']"
3 Floyds Alpha King,,,,,,"['3', 'Floyds', 'Alpha', 'King']"
3 Floyds Zombie Dust,,,,,,"['3', 'Floyds', 'Zombie', 'Dust']"
30 DEGREES MONT CHARD SCREW CAP,,,,,,"['30', 'DEGREES', 'MONT', 'CHARD', 'SCREW', 'CAP']"
32 OZ GEORGE'S MIXES LIME MARGARITA MIX,,,,,,"['32', 'OZ', ""GEORGE'S"", 'MIXES', 'LIME', 'MARGARITA', 'MIX']"
32 OZ GEORGE'S MIXES SPICY BLOODY MARY MIX,,,,,,"['32', 'OZ', ""GEORGE'S"", 'MIXES', 'SPICY', 'BLOODY', 'MARY', 'MIX']"
355 ML BACARDI BAHAMA MAMA (RTD) 6X4PK CANS,,,,,,"['355', 'ML', 'BACARDI', 'BAHAMA', 'MAMA', '(RTD)', '6X4PK', 'CANS']"
355 ML BACARDI LIMON & LEMONADE RTD 6X4 CAN,,,,,,"['355', 'ML', 'BACARDI', 'LIMON', '&', 'LEMONADE', 'RTD', '6X4', 'CAN']"
355 ML BACARDI MOJITO (RTD) 6X4PK CANS,,,,,,"['355', 'ML', 'BACARDI', 'MOJITO', '(RTD)', '6X4PK', 'CANS']"
355 ML BEACH JUICE VODKA LEMONADE 6X4PK CAN,,,,,,"['355', 'ML', 'BEACH', 'JUICE', 'VODKA', 'LEMONADE', '6X4PK', 'CAN']"
355 ML DANIELS JACK & COLA 6X4PK CANS,,,,,,"['355', 'ML', 'DANIELS', 'JACK', '&', 'COLA', '6X4PK', 'CANS']"
355 ML JIM BEAM GINGER HIGHBALL 6X4PK CANS,,,,,,"['355', 'ML', 'JIM', 'BEAM', 'GINGER', 'HIGHBALL', '6X4PK', 'CANS']"
360 RED RSPBRY VODKA,,,,,,"['360', 'RED', 'RSPBRY', 'VODKA']"
360 SORRENTO LEMON VODKA,,,,,,"['360', 'SORRENTO', 'LEMON', 'VODKA']"
360 Vodka Madagascar Vanilla,,,,,,"['360', 'Vodka', 'Madagascar', 'Vanilla']"
360 Vodka Mandarin Orange,,,,,,"['360', 'Vodka', 'Mandarin', 'Orange']"
375 ML NATURA CABERNET SAUVIGNON,,,,,,"['375', 'ML', 'NATURA', 'CABERNET', 'SAUVIGNON']"
375 ML NATURA CHARDONNAY,,,,,,"['375', 'ML', 'NATURA', 'CHARDONNAY']"
375ML  COPPOLA DIAMND CAB,,,,,,"['375ML', 'COPPOLA', 'DIAMND', 'CAB']"
375ML  DISARONNO AMARETTO,,,,,,"['375ML', 'DISARONNO', 'AMARETTO']"
375ML  JOEL GOTT SAUV BLANC,,,,,,"['375ML', 'JOEL', 'GOTT', 'SAUV', 'BLANC']"
3D BEACH BLND 1/2 BBL,,,,,,"['3D', 'BEACH', 'BLND', '1/2', 'BBL']"
3D BEACH BLOND 2/12/12 CAN,,,,,,"['3D', 'BEACH', 'BLOND', '2/12/12', 'CAN']"
3D WTRMLN WHT 4/6 CN,,,,,,"['3D', 'WTRMLN', 'WHT', '4/6', 'CN']"
3D.BEACH BLND 24/16OZ CN,,,,,,"['3D.BEACH', 'BLND', '24/16OZ', 'CN']"
3D.LIME CID   4/6 CN,,,,,,"['3D.LIME', 'CID', '4/6', 'CN']"
3D.RASPBR CID 4/6 CN,,,,,,"['3D.RASPBR', 'CID', '4/6', 'CN']"
3F BARBRN HAZE K 1/6BBL,,,,,,"['3F', 'BARBRN', 'HAZE', 'K', '1/6BBL']"
3F GUMBALL K 1/6BBL,,,,,,"['3F', 'GUMBALL', 'K', '1/6BBL']"
3F ZOMBIE DUST K 1/6BBL,,,,,,"['3F', 'ZOMBIE', 'DUST', 'K', '1/6BBL']"
3HB THE KIND IPA 20LT,,,,,,"['3HB', 'THE', 'KIND', 'IPA', '20LT']"
3HB TRE KIND TRIPLE IPA 15.5G,,,,,,"['3HB', 'TRE', 'KIND', 'TRIPLE', 'IPA', '15.5G']"
4 Copas 4 Copas Blanco Tequila 80 PF,,,,,,"['4', 'Copas', '4', 'Copas', 'Blanco', 'Tequila', '80', 'PF']"
44 NORTH HUCKLEBERRY 750ML,,,,,,"['44', 'NORTH', 'HUCKLEBERRY', '750ML']"
446127 1.0L  CASAMIGOS TEQUI,,,,,,"['446127', '1.0L', 'CASAMIGOS', 'TEQUI']"
50 WEST 1/2BBL COAST,,,,,,"['50', 'WEST', '1/2BBL', 'COAST']"
50 WEST 1/6BBL SHORCUT,,,,,,"['50', 'WEST', '1/6BBL', 'SHORCUT']"
50 WEST SNL 1/6BBL CHASING,,,,,,"['50', 'WEST', 'SNL', '1/6BBL', 'CHASING']"
50 WEST SNL 1/6BBL JAMOUT,,,,,,"['50', 'WEST', 'SNL', '1/6BBL', 'JAMOUT']"
50L CATHEDRAL GROUNDS IPA,,,,,,"['50L', 'CATHEDRAL', 'GROUNDS', 'IPA']"
50L DDH PULP IPA,,,,,,"['50L', 'DDH', 'PULP', 'IPA']"
50L DDH SAINT THOMAS IPA,,,,,,"['50L', 'DDH', 'SAINT', 'THOMAS', 'IPA']"
50L GALAXY JUICE IPA,,,,,,"['50L', 'GALAXY', 'JUICE', 'IPA']"
50L HASHERDABBERY IPA,,,,,,"['50L', 'HASHERDABBERY', 'IPA']"
50L LOGIC GATE IPA,,,,,,"['50L', 'LOGIC', 'GATE', 'IPA']"
50L MISSILE PARK IPA,,,,,,"['50L', 'MISSILE', 'PARK', 'IPA']"
50L MO PULP IPA,,,,,,"['50L', 'MO', 'PULP', 'IPA']"
50L MONSTERLANDS IPA,,,,,,"['50L', 'MONSTERLANDS', 'IPA']"
50L MOTLEY BR IPA,,,,,,"['50L', 'MOTLEY', 'BR', 'IPA']"
50L NEW DREAMS IPA,,,,,,"['50L', 'NEW', 'DREAMS', 'IPA']"
50L PILLOW WORLD IPA,,,,,,"['50L', 'PILLOW', 'WORLD', 'IPA']"
50L PULP IPA,,,,,,"['50L', 'PULP', 'IPA']"
50L SAINT THOMAS IPA,,,,,,"['50L', 'SAINT', 'THOMAS', 'IPA']"
50L SOUND PARADE IPA,,,,,,"['50L', 'SOUND', 'PARADE', 'IPA']"
50L Spruce Crispy,,,,,,"['50L', 'Spruce', 'Crispy']"
"50L Vax Up, Yo!",,,,,,"['50L', 'Vax', 'Up,', 'Yo!']"
50W AMERICAN LAGER 1/2 BBL,,,,,,"['50W', 'AMERICAN', 'LAGER', '1/2', 'BBL']"
50W COAST TO COAST 1/6 BBL,,,,,,"['50W', 'COAST', 'TO', 'COAST', '1/6', 'BBL']"
50W DOOM PEDAL 1/2 BBL,,,,,,"['50W', 'DOOM', 'PEDAL', '1/2', 'BBL']"
50W DOOM PEDAL 1/6 BBL,,,,,,"['50W', 'DOOM', 'PEDAL', '1/6', 'BBL']"
50W HOME SWEET HOME 1/6 BBL,,,,,,"['50W', 'HOME', 'SWEET', 'HOME', '1/6', 'BBL']"
50W MAIN ST AMBER 12OZ CAN 4/6,,,,,,"['50W', 'MAIN', 'ST', 'AMBER', '12OZ', 'CAN', '4/6']"
50W OCEAN CITY GOSE 1/2 BBL,,,,,,"['50W', 'OCEAN', 'CITY', 'GOSE', '1/2', 'BBL']"
6.7 Z ANGOSTURA BITTE,,,,,,"['6.7', 'Z', 'ANGOSTURA', 'BITTE']"
6/750  NGB TN WHISKEY,,,,,,"['6/750', 'NGB', 'TN', 'WHISKEY']"
603           SLTY TST PMP/2,,,,,,"['603', 'SLTY', 'TST', 'PMP/2']"
7 LEGUAS REPOSADO 6C - CS6-750ML,,,,,,"['7', 'LEGUAS', 'REPOSADO', '6C', '-', 'CS6-750ML']"
7 Moons Red Blend,,,,,,"['7', 'Moons', 'Red', 'Blend']"
750 ML ABSOLUT VODKA 80,,,,,,"['750', 'ML', 'ABSOLUT', 'VODKA', '80']"
750 ML CASAMIGOS BLANCO TEQUILA,,,,,,"['750', 'ML', 'CASAMIGOS', 'BLANCO', 'TEQUILA']"
750 ML SMOKE EATER FIRST DUE RED,,,,,,"['750', 'ML', 'SMOKE', 'EATER', 'FIRST', 'DUE', 'RED']"
750 ML SMOKE EATER PINOT GRIGIO,,,,,,"['750', 'ML', 'SMOKE', 'EATER', 'PINOT', 'GRIGIO']"
750 ML WILD TURKEY RUSS RES 10YR OLD,,,,,,"['750', 'ML', 'WILD', 'TURKEY', 'RUSS', 'RES', '10YR', 'OLD']"
750M   C SMITH VELVET DEVIL19,,,,,,"['750M', 'C', 'SMITH', 'VELVET', 'DEVIL19']"
750ML  59 PRIME SS PINOT NOIR SOPHIE,,,,,,"['750ML', '59', 'PRIME', 'SS', 'PINOT', 'NOIR', 'SOPHIE']"
750ML  AVISSI SPK ROSE,,,,,,"['750ML', 'AVISSI', 'SPK', 'ROSE']"
750ML  BIBI GRAETZ CASAMATTA ROSSO,,,,,,"['750ML', 'BIBI', 'GRAETZ', 'CASAMATTA', 'ROSSO']"
750ML  CAMPO DI FIORI PINOT GRIGIO,,,,,,"['750ML', 'CAMPO', 'DI', 'FIORI', 'PINOT', 'GRIGIO']"
750ML  CHAP BELLERUCH CD RHONE ROSE,,,,,,"['750ML', 'CHAP', 'BELLERUCH', 'CD', 'RHONE', 'ROSE']"
750ML  CHATEAU GVG ROSE BELLECHASSE,,,,,,"['750ML', 'CHATEAU', 'GVG', 'ROSE', 'BELLECHASSE']"
750ML  CHATEAU MED PICHON BARON CAP,,,,,,"['750ML', 'CHATEAU', 'MED', 'PICHON', 'BARON', 'CAP']"
